STATE,GOAL,COMMENT
California,100% carbon-free electricity by 2045,"2018 legislation (SB 100) extended and expanded the existing state RPS. State agencies are required to submit implementation plans by January 1, 2021. Also in 2018, Gov. Jerry Brown’s Executive Order B-55-18 set a goal of statewide carbon neutrality by no later than 2045, with net negative GHG emissions thereafter."
Colorado,100% carbon-free electricity by 2050 for Xcel Energy,"A 2019 law (SB 19-236) codified a pledge previously made by Xcel, whose service territory covers approximately 60% of the state’s load. It is mandatory “so long as it is technically and economically feasible.”"
Connecticut,100% carbon-free electricity by 2040,"Governor Ned Lamont’s 2019 Executive Order (Number 3) set a 2040 goal for carbon-free electricity and asked the Department of Energy and Environmental Protection to develop a decarbonization plan for the power sector, in line with previous legislation to cut economy-wide carbon emissions by 80% below 2001 levels by 2050. In May 2022, Senate Bill 10, An Act Concerning Climate Change Mitigation, placed the goal into law. "
Delaware,100% reduction in GHG emissions,"HB 99, signed by Gov. John Carney in August 2023, requires Delaware to reduce state-wide GHG emissions by 50% from 2005 levels by 2030 and 100% by 2050."
District of Columbia,100% renewable energy by 2032 through the RPS,The Clean Energy DC Omnibus Amendment Act of 2018 (DC Act 22-583) amended the existing RPS to mandate 100% renewable electricity by the year 2032.
Hawaii,100% renewable energy by 2045 through the RPS,2015 legislation (HB623) made Hawaii the first state to set a 100% RPS for the electricity sector.
Illinois,100% clean energy by 2050,"2021 legislation (SB2408) established a goal of 100% clean energy by 2050, with interim targets of 40% by 2030 and 50% by 2040."
Louisiana,Net zero greenhouse gas emissions by 2050,Governor John Bel Edwards’ 2020 Executive Order (JBE 2020-18) established a Climate Initiatives Task Force to develop a roadmap and make recommendations.
Maine,100% clean energy by 2050,"2019 legislation (LD 1494) increased Maine’s RPS to 80% by 2030, and set a goal of 100% by 2050. Also LD1679 sets an economy-wide goal of 80% cuts to greenhouse gases by 2050."
Maryland ,Net-zero greenhouse gas emissions by 2045,The General Assembly enacted the Climate Solutions Now Act of 2022. This wide-ranging legislation includes the 2045 net-zero goal.
Massachusetts,Net-zero greenhouse gas emissions by 2050,"In 2020, the Secretary of Energy and Environmental Affairs set a 2050 net-zero GHG emissions goal under the authority of 2008 legislation. The same goal was then included in a March 2021 climate action law (Bill S.9). A decarbonization roadmap was released at the end of 2020."
Michigan,100% carbon-free electricity by 2040,"Senate Bill 271 (2023) requires all utilities to have a portfolio of 60% renewable energy by 2035, and 80% ""clean energy""—which includes carbon capture and storage—by 2035 and 100% by 2040."
Minnesota ,100% carbon-free electricity by 2040,"2023 legislation (SF 4) requires electric utilities to get 100% of the electricity they sell from carbon-free sources by 2040, including renewables and nuclear power. There are interim targets of 80% carbon-free power in 2030 and 90% in 2035. The legislation also increases the state’s Renewable Energy Standard to 55% by 2035. "
Nebraska ,Net-zero carbon emissions from generation resources by 2050 for Nebraska Public Power District and Omaha Public Power District; 2040 for Lincoln Electric System,"Nebraska is the only state served solely by publicly owned utilities. As of December 2021, the three public utilities that serve the vast majority of customers have all adopted 100% clean energy goals. "
Nevada,100% carbon-free electricity by 2050,"2019 legislation (SB 358) raised the RPS to 50% by 2030, and set a goal of a net-zero emission power sector by 2050."
New Jersey,100% carbon-free electricity by 2035,Governor Phil Murphy’s Executive Order 315 in 2023 set a goal of ensuring 100% of energy sold in the state comes from clean sources by 2035 and directed BPU to develop an updated Energy Master Plan by 2024. 
New Mexico,100% carbon-free electricity by 2045,"2019 legislation (SB 489) requires utilities to have a zero-carbon power supply by 2045, including at least 80% from renewables, with the exception of rural electric coops which have a 2050 target date."
New York,100% carbon-free electricity by 2040,2019 legislation (S6599) requires zero-emissions electricity by 2040 and sets a goal of cutting all state GHGs 85% by 2050. A Climate Action Council will develop a plan.
North Carolina ,Carbon neutrality in the electricity sector by 2050 ,"2021 legislation (HB 951) requires the North Carolina Utilities Commission to “take all reasonable steps” to achieve a 70% reduction in CO2 emissions from electric generating facilities in the state by 2030 and carbon neutrality by 2050. The 2022 Executive Order 246 sets an economy-wide target of net-zero emissions by ""no later than 2050,"" sets a goal that half of new vehicle sales must be electric vehicles by 2030, incorporates environmental justice and equity into climate programs, and has other measures."
Oregon,Greenhouse gas emissions reduced 100 percent below baseline emissions by 2040,"2021 legislation (HB 2021) requires investor-owned utilities to reduce greenhouse gas emissions associated with the electricity they sell to 80 percent below baseline emissions levels by 2030, 90 percent below baseline emissions levels by 2035, and 100 percent below baseline emissions levels by 2040. "
Puerto Rico,100% renewable energy for electricity by 2050,"2019 legislation (SB1121), the Public Energy Policy Law of Puerto Rico, set a timeline for reaching 100% renewable electricity by the year 2050."
Rhode Island,100% renewable energy electricity by 2033,Governor Gina Raimondo’s 2020 Executive Order (20-01) requires the Office of Energy Resources to “conduct economic and energy market analysis and develop viable policy and programmatic pathways” to meet 100% of statewide electricity deliveries with renewables by 2030. 2022 legislation (H7277 SUB A) updates the state's RPS to require 100% of RI's electricity to be offset by renewable production by 2033. 
Vermont ,100% renewable energy by 2035 for all utilities and 100% renewable energy by 2030 for Green Mountain Power and Vermont Electric Coop.,"2024 legislation (H289) updates the state's 2015 Renewable Energy Standard and requires all Vermont utilities to provide 100% renewable energy by 2035, with a 2030 goal for the state's two biggest utilities. The law increases the amount of in-state renewable energy utilities must procure from 10% to 20%. The law also restricts new large hydropower, expansions of existing large hydropower, and biomass power from being counted as new renewables."
Virginia,100% carbon-free electricity by 2045 for Dominion Energy and 2050 for Appalachian Power Company,The 2020 Virginia Clean Economy Act (House Bill 1526 and Senate Bill 851) requires zero-carbon utilities by 2050 at the latest. 
Washington,100% zero-emissions electricity by 2045,2019’s Clean Energy Transformation Act (SB5116) applies to all utilities. The state Commerce Department started a rulemaking process in August 2019. Utilities must file implementation plans by January 2022.
Wisconsin,100% carbon-free electricity by 2050,Governor Tony Evers’ Executive Order (EO38) in 2019 directed a new Office of Sustainability and Clean Energy to “achieve a goal” of all carbon-free power by 2050.