STATE,NUCLEAR,COAL,NATURAL GAS,PETROLEUM,HYDRO,GEOTHERMAL,SOLAR - PV,WIND,BIOMASS
Alabama,32.2,18.8,37.6,0,8.8,0,0.3,0,2.2
Alaska,0,13.7,41,14.9,27.7,0,0,2.1,0.6
Arizona,29.1,13.2,44.4,0,5.4,0,6.2,1.5,0.2
Arkansas,22.5,35.6,32.1,0.1,7.3,0,0.8,0,1.7
California,8.4,0.1,49,0,7.2,5.8,17.4,7.9,4
Colorado,0,41.6,25.5,0,2.8,0,3.1,26.5,0.4
Connecticut,39,0.6,55.6,0.2,0.7,0,0.7,0,3.2
Delaware,0,6.8,85.8,0.5,0,0,1.5,0.1,5.3
District of Columbia,0,0,62.5,0,0,0,11.9,0,25.5
Florida,11.5,7.5,73.9,0.5,0.1,0,3.7,0,2.8
Georgia,26.8,15.1,46.3,0.2,3.2,0,3.8,0,4.6
Hawaii,0,11.8,0,65.4,1.2,1.8,5.7,7.3,6.8
Idaho,0,0.1,26,0,51,0.5,3.3,15.7,3.3
Illinois,53.3,23.9,11.6,0,0.1,0,0.3,10.3,0.5
Indiana,0,57.7,29.5,0.1,0.3,0,0.7,8.4,3.3
Iowa,0,33.5,9,0.1,1.4,0,0.3,55.3,0.3
Kansas,15.1,34.2,5.1,0.2,0.1,0,0.1,45.2,0.1
Kentucky,0,70.7,21,0.1,7.5,0,0.1,0,0.6
Louisiana,17.6,8,64.8,4,1.2,0,0.2,0,4.2
Maine,0,0.6,24.7,0.4,27.1,0,1.6,23.3,22.3
Maryland,37.7,14.7,37.1,0.2,5.3,0,1.7,1.3,1.9
Massachusetts,0,0,76.9,0.4,2,0,9.2,1.1,10.3
Michigan1,29.6,31.9,26.6,1,0.7,0,0.4,6.7,3.1
Minnesota,23.7,26.5,20.6,0.1,1.5,0,3.2,21.7,2.7
Mississippi,17.1,8,72.1,0,0,0,0.6,0,2.1
Missouri,5.5,74.4,8.7,0.2,2.4,0,0.2,8.5,0.2
Montana,0,43.2,2,1.8,40,0,0.1,11.5,1.3
Nebraska,17.8,49.2,4.1,0.1,3.3,0,0.1,25.2,0.2
Nevada,0,6.6,62.5,0,4.7,9.4,15.9,0.8,0.2
New Hampshire,56.5,1.6,25.6,0.4,6.7,0,0,2.9,6.2
New Jersey,45.8,1.7,47.8,0.1,0,0,2.5,0,2.3
New Mexico,0,35.5,28.4,0.1,0.5,0.1,5,30.2,0.1
New York2,24.9,0,45.6,0.7,22,0,1,3.5,2.3
North Carolina,32.8,15.5,35.9,0.1,5.8,0,7.6,0.4,1.8
North Dakota,0,57.1,3.4,0.1,5.2,0,0,34.1,0.2
Ohio,14.2,37.1,43.9,0.8,0.3,0,0.5,2.1,1.1
Oklahoma,0,14,40.8,0,3.3,0,0.1,41.4,0.4
Oregon,0,0,33.3,0,46.4,0.3,2.5,15.7,1.7
Pennsylvania,31.4,12.1,52.7,0.1,0.8,0,0.1,1.5,1.4
Rhode Island,0,0,90.9,0.1,0.1,0,4.2,2.2,2.5
South Carolina,53.8,15.2,23.3,0.1,3,0,2.3,0,2.4
South Dakota,0,9.2,8.7,0.1,29.7,0,0,52.3,0.1
Tennessee,43.4,22.4,17.8,0.1,15.1,0,0.4,0.1,0.8
Texas,8.3,18.4,48.6,0,0.2,0,2.9,20.7,0.9
Utah,0,61.8,24.7,0.1,1.8,0.8,8.1,1.9,0.6
Vermont,0,0,0.1,0.2,50,0,8.8,15.7,25.2
Virginia,30.3,3.3,57.4,0.3,0.8,0,3.6,0.1,4.2
Washington,7.8,2.9,14.4,0,64.6,0,0,8.7,1.6
West Virginia,0,90.8,4.1,0.3,2.3,0,0,2.5,0.1
Wisconsin,15.2,41.9,33.9,0.3,3.8,0,0.6,2.5,1.8
Wyoming,0,73.3,3.5,0.1,2.3,0,0.4,19.4,1